Tên thủ tục,Link
"Thu hồi giấy chứng nhận đăng ký, biển số xe thực hiện bằng dịch vụ công trực tuyến một phần hoặc trực tiếp tại cơ quan đăng ký xe thực hiện tại cấp trung ương, cấp tỉnh, cấp xã",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=62012
Đăng ký xe lần đầu trực tuyến toàn trình đối với xe nhập khẩu,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=58712
Đăng ký xe lần đầu trực tuyến toàn trình đối với xe sản xuất lắp ráp trong nước,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=56952
Cấp hộ chiếu phổ thông ở trong nước (thực hiện tại cấp trung ương),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26270
Cấp hộ chiếu phổ thông ở trong nước (thực hiện tại cấp tỉnh),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=29497
"Cấp mới Giấy chứng nhận đủ điều kiện về an ninh, trật tự (thực hiện tại cấp Trung ương)",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26113
"Cấp mới Giấy chứng nhận đủ điều kiện về an ninh, trật tự (thực hiện tại cấp tỉnh)",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=40857
"Cấp thị thực điện tử theo đề nghị của cơ quan, tổ chức",https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26276
Cấp thị thực điện tử theo đề nghị của người nước ngoài,https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=26277
Đăng ký lại mẫu con dấu (thực hiện tại cấp tỉnh),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=40853
Đăng ký thêm con dấu (thực hiện tại cấp tỉnh),https://dichvucong.bocongan.gov.vn/bocongan/bothutuc/tthc?matt=40854
